id,product_name,EAN,miso_artvonbonbonsanderensuesswaren,miso_artvonschokolade,miso_artvonsnackknabberartikel,miso_artvonzucker,miso_artvonspeiseoel,miso_artvonteigwarennudeln,miso_artvonverwendetemei,miso_artvonkraeuterngewuerzen,miso_artvonbearbeitetemgetreideprodukt,miso_artvonsaucedip,miso_artvonsalatsauce,miso_artvontrinkschokolade,miso_artvonerfrischungsgetraenk,miso_artvonkeksgebaeck,miso_artvonkuchen,miso_artvongebaeckpastete,miso_artvonummantelungfuellung,miso_artvonbrot,miso_artvonprodukt,miso_artvondessert,miso_artvonwasser,miso_artvonsportgetraenk,miso_artvonkrustentierenmuschelnschnecken,miso_artvonhonig,miso_artvoneingelegtemgemuesesauerkonserven,miso_artvonoliven,miso_artvonjoghurt,miso_artvonrahm,miso_artvonmilch,cat_5,cat_5_name,cat_4,cat_4_name,cat_3,cat_3_name,cat_2,cat_2_name,cat_1,cat_1_name
100130400000,Milch Extra ohne Zuckerzusatz,7616500671485,Schokoladentafel,Milchschokolade,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS_0101082101,Schokoladentafeln,BeSS_01010821,Schokolade,BeSS_010108,Süssigkeiten,BeSS_0101,Lebensmittel,BeSS_01,Supermarkt
100130800000,Noxana ohne Zuckerzusatz,7616500671492,Schokoladentafel,Milchschokolade,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS_0101082101,Schokoladentafeln,BeSS_01010821,Schokolade,BeSS_010108,Süssigkeiten,BeSS_0101,Lebensmittel,BeSS_01,Supermarkt
100132100000,Mahony,7616500013216,Schokoladenriegel,Milchschokolade,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS_0101082102,Schokoriegel & Branches,BeSS_01010821,Schokolade,BeSS_010108,Süssigkeiten,BeSS_0101,Lebensmittel,BeSS_01,Supermarkt
100137000000,Sélection 80% Cacao Trinidad,7613269196389,Schokoladentafel,Zartbitter,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS_0101082101,Schokoladentafeln,BeSS_01010821,Schokolade,BeSS_010108,Süssigkeiten,BeSS_0101,Lebensmittel,BeSS_01,Supermarkt
100142000000,Noir Special,7616500923386,Schokoladenriegel,Dunkle Schokolade,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS_0101082102,Schokoriegel & Branches,BeSS_01010821,Schokolade,BeSS_010108,Süssigkeiten,BeSS_0101,Lebensmittel,BeSS_01,Supermarkt
100144100000,M-Classic 80% Cacao Uganda,7613312261781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS_0101082101,Schokoladentafeln,BeSS_01010821,Schokolade,BeSS_010108,Süssigkeiten,BeSS_0101,Lebensmittel,BeSS_01,Supermarkt
100144200000,M-Classic 70% Cacao Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS_0101082101,Schokoladentafeln,BeSS_01010821,Schokolade,BeSS_010108,Süssigkeiten,BeSS_0101,Lebensmittel,BeSS_01,Supermarkt
100148600000,Duett Lait & Blond Japonais,7616500663091,Schokoladentafel,Milchschokolade,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS_0101082101,Schokoladentafeln,BeSS_01010821,Schokolade,BeSS_010108,Süssigkeiten,BeSS_0101,Lebensmittel,BeSS_01,Supermarkt
100151600000,Suprême 83% Cacao Républi. Dominicaine,7616500668867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS_0101082101,Schokoladentafeln,BeSS_01010821,Schokolade,BeSS_010108,Süssigkeiten,BeSS_0101,Lebensmittel,BeSS_01,Supermarkt
100151700000,Suprême 77% Cacao Peru,7616500668874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS_0101082101,Schokoladentafeln,BeSS_01010821,Schokolade,BeSS_010108,Süssigkeiten,BeSS_0101,Lebensmittel,BeSS_01,Supermarkt
100152200000,Milch Extra,7616500015227,Riegel,Milchschokolade,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS_0101082102,Schokoriegel & Branches,BeSS_01010821,Schokolade,BeSS_010108,Süssigkeiten,BeSS_0101,Lebensmittel,BeSS_01,Supermarkt
100152300000,Noxana,,Schokoladenriegel,Milchschokolade,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS_0101082102,Schokoriegel & Branches,BeSS_01010821,Schokolade,BeSS_010108,Süssigkeiten,BeSS_0101,Lebensmittel,BeSS_01,Supermarkt
100152500000,Tourist,7616500015258,Schokoladenriegel,Milchschokolade,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS_0101082102,Schokoriegel & Branches,BeSS_01010821,Schokolade,BeSS_010108,Süssigkeiten,BeSS_0101,Lebensmittel,BeSS_01,Supermarkt
100165000000,Milch Extra,76165283,Schokoladenriegel,Milchschokolade,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS_0101082102,Schokoriegel & Branches,BeSS_01010821,Schokolade,BeSS_010108,Süssigkeiten,BeSS_0101,Lebensmittel,BeSS_01,Supermarkt
100180600000,Bio Noir Coco,7613312147184,Schokoladentafel,Dunkle Schokolade,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS_0101082101,Schokoladentafeln,BeSS_01010821,Schokolade,BeSS_010108,Süssigkeiten,BeSS_0101,Lebensmittel,BeSS_01,Supermarkt
100201300000,Giandor Blanc,7616500020139,Schokoladentafel,weisse Schokolade,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS_0101082101,Schokoladentafeln,BeSS_01010821,Schokolade,BeSS_010108,Süssigkeiten,BeSS_0101,Lebensmittel,BeSS_01,Supermarkt
100204300000,Les Exquises Mousse Milch,7616500648616,Schokoladentafel,Milchschokolade,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS_0101082101,Schokoladentafeln,BeSS_01010821,Schokolade,BeSS_010108,Süssigkeiten,BeSS_0101,Lebensmittel,BeSS_01,Supermarkt
